number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_cw_blue,params_cw_green,params_cw_orange,params_cw_red,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_leaf_estimation_method,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,state
32,0.6775408102190363,2026-05-20 14:20:20.676045,2026-05-20 14:20:31.917732,0 days 00:00:11.241687,,MVS,248,8.055039462668958,1.1289756948183027,12.785602874615808,15.212881603137973,6,Depthwise,2600,6.445556354087082,8,Newton,0.02699513109082683,,75.0,0.2989335571902534,0.4745783340913269,0.4398977604200665,COMPLETE
33,0.8420650130384597,2026-05-20 14:20:32.057100,2026-05-20 14:21:34.939793,0 days 00:01:02.882693,,Bernoulli,116,9.111485054163197,2.945987875012949,6.3744770992249595,22.690215185315076,6,SymmetricTree,2100,0.5482919938989981,4,Newton,0.18145345539095828,,,8.958064334943658e-05,0.6776078714017639,0.5393276170880904,COMPLETE
34,0.8212761777987396,2026-05-20 14:21:35.110571,2026-05-20 14:23:35.904962,0 days 00:02:00.794391,5.698896848713165,Bayesian,64,8.301944394384122,2.0393678692215835,13.274718914664492,19.536549772035883,7,SymmetricTree,4100,2.9616136172883114,3,Newton,0.06332178525906913,,,0.12513387716723579,0.587033240677329,,COMPLETE
35,0.8049587623300287,2026-05-20 14:23:36.077147,2026-05-20 14:24:01.539618,0 days 00:00:25.462471,,MVS,152,6.069183404159574,1.190081314022361,14.261966754565414,12.626133483815051,9,Depthwise,1500,0.011918836411398253,4,Gradient,0.09621533845732032,,41.0,0.017600945582106085,0.5510794353441717,0.7500350768596723,COMPLETE
36,0.7163890377977695,2026-05-20 14:24:01.707498,2026-05-20 14:24:27.953228,0 days 00:00:26.245730,,MVS,166,9.247997884865036,1.0609820654147009,12.744573210243077,24.651347576133695,8,Depthwise,3700,2.7901721902904576e-07,8,Newton,0.21843057672932864,,12.0,0.0015367217620165172,0.6544784027814317,0.6705036228424792,COMPLETE
37,0.7755850052352965,2026-05-20 14:24:28.114092,2026-05-20 14:26:03.875435,0 days 00:01:35.761343,,Bernoulli,238,5.234493841025057,1.293741439278005,2.971998285317198,12.406108871051948,6,SymmetricTree,4100,5.9359876539015374e-05,4,Newton,0.00509573038982545,,,0.0006863733717155804,0.6078075966195767,0.5347628937639892,COMPLETE
38,0.6181951006521456,2026-05-20 14:26:04.049148,2026-05-20 14:26:16.794988,0 days 00:00:12.745840,,MVS,50,0.8472218445569013,1.3580947429864996,3.8719549667481004,22.655248657136415,10,Depthwise,3500,2.563862303557999e-07,6,Newton,0.010364417082360276,,21.0,5.3903518410543275e-05,0.9981245511075684,0.8499762822395067,COMPLETE
39,0.8478797939675774,2026-05-20 14:26:16.966831,2026-05-20 14:26:46.931707,0 days 00:00:29.964876,,MVS,224,6.759777448146438,3.721875029813289,3.186136363126665,2.583886180187932,7,SymmetricTree,2500,2.959583751328969e-07,4,Gradient,0.02579807744379111,,,4.338635589904383e-07,0.9676692772801796,0.6452405026588579,COMPLETE
40,0.775224985347563,2026-05-20 14:26:47.102209,2026-05-20 14:28:59.197224,0 days 00:02:12.095015,6.680851365706461,Bayesian,86,0.6235182733519924,4.5335111833450386,5.104068223654186,6.714638794563882,8,SymmetricTree,4100,1.8083691800544089e-06,9,Newton,0.010386026309930749,,,7.851859771865083e-08,0.8333601591133954,,COMPLETE
41,0.8124769700524134,2026-05-20 14:28:59.367853,2026-05-20 14:29:42.710259,0 days 00:00:43.342406,,MVS,164,8.750445771030172,1.1305092909490364,11.69048111823665,23.814426060129605,6,Depthwise,4600,2.8746656196543606e-06,7,Gradient,0.14207193507439775,,30.0,2.6135551782780487e-05,0.5608381844937258,0.66167591748119,COMPLETE
42,0.7940522282028847,2026-05-20 14:29:42.870536,2026-05-20 14:30:46.267768,0 days 00:01:03.397232,,MVS,252,5.7646910239000375,1.733248493092427,9.07123065719955,4.708274906473246,5,SymmetricTree,2900,2.0926394658087675e-07,2,Newton,0.0668944508705535,,,0.3268677933705696,0.7154141093816115,0.9485792839362994,COMPLETE
